Advertisement ID,Segment_num
1831845,16
4467135,11
2285593,0
3825366,0
2313008,0
3959329,0
4321218,1
3996624,0
2200306,1
4437486,7
3851646,0
3846487,0
3970165,0
4125372,0
3936477,0
2265902,5
4218075,0
3937633,0
3949562,0
3859260,0
2112187,0
4123772,4
2240360,0
2057221,0
4111651,0
1465995,17
1603988,15
2209731,16
3893746,0
3713407,0
1602135,18
3954104,0
4103457,0
4467154,11
1343380,16
3884842,0
1345684,16
1380870,17
4445513,9
4085973,0
3955986,0
3865999,0
4145414,0
3725449,0
3961539,0
4301886,0
2288432,1
2306506,0
2308657,0
2214674,15
4101425,4
1108943,16
3922836,1
4319920,0
4279898,4
4269806,6
4055242,0
4321014,5
4258117,0
1049964,16
2329664,0
3706343,0
4152040,0
4215229,6
4159271,0
2285787,0
4295115,0
3949577,0
1492323,16
4023262,0
2275090,0
4126193,0
1589670,16
4550378,12
4215562,0
1382537,16
2315996,0
1599802,16
4547315,10
4274030,0
3812801,0
2204679,17
4317184,0
2281293,0
1688384,16
2200301,1
4424202,12
3683159,0
1871482,15
4109509,1
4535164,8
3967213,0
4238082,0
3889616,0
2517312,17
4094604,1
4275462,0
3700661,0
4099186,2
1600224,16
1604267,14
4122532,0
3851077,0
1383413,17
2298187,18
2313039,1
2251478,0
1343348,16
4164918,0
2197482,0
4146576,0
4480957,10
3801811,0
3821084,0
2300187,0
4112909,0
4316747,0
3880697,0
4162454,4
3955649,0
2324449,16
4056714,0
3954163,1
4019150,0
2391624,11
2299035,0
3973862,0
3719767,0
4420579,10
2407856,16
2307533,0
4181855,4
2055198,0
1830921,16
2299618,0
2091325,0
4301377,0
1583441,16
1608696,16
3860754,0
4037536,3
4099654,0
1707934,16
4110471,4
3902742,0
2079666,0
1709145,14
4071468,2
2282746,18
4242330,0
2395690,8
4282186,0
1545946,17
1590833,16
3815772,0
2292223,0
4158484,0
4099661,0
4319524,0
4016248,0
3817078,0
1622744,16
3997375,0
4127287,0
3887770,0
1403316,14
2233607,18
3816495,3
1126051,16
3987002,0
3964989,0
3684404,0
2517293,17
1678502,16
2172275,0
1322623,16
3921347,0
1536584,17
1603981,15
4270900,0
2060241,0
4050192,0
1480039,17
1603157,17
2325383,0
4239732,0
1641950,17
1435928,17
1702128,16
4522701,10
4138848,0
4321301,0
4232390,0
3847934,1
4047267,0
1343373,16
4306283,1
4321235,3
1396464,17
3830464,0
2049223,0
2387467,13
1342250,16
4072040,0
4304450,0
4169227,4
1708971,14
2259145,0
3920356,5
3735900,0
1514956,17
4149994,1
4059229,0
4515879,11
2154051,0
4241747,0
3938796,6
2119803,0
1435918,17
2336043,0
2147955,0
4015602,0
3986749,0
4031227,0
2294014,2
2332292,1
1585578,17
3986728,18
2219578,14
4410185,12
2243178,0
1591257,16
1604675,17
2252728,0
2315015,1
1117380,16
1343277,16
4184645,0
4303960,0
1302391,17
4060620,6
2245519,0
1343773,16
3910165,0
1050141,16
2147607,4
3920376,0
3914691,0
1594030,16
1688405,16
4307158,4
2399780,14
4216418,0
3965451,0
3988216,0
3780385,0
4546710,7
4321340,0
4031287,5
4295920,0
4563917,7
2244617,0
2246322,0
4226341,0
2119774,0
3755950,0
3859238,0
4122527,4
2151145,0
2396308,10
1594498,16
1382039,16
2198765,16
4314375,1
4513524,13
4254789,0
2299347,0
2119936,0
3710989,0
4073653,0
4245443,0
2123577,0
2274700,0
2232648,0
1914692,15
3734186,0
4109792,3
1616572,17
1142342,16
4200118,0
2058385,0
1798204,16
3937186,0
1382051,16
1582445,16
4067091,0
4308696,0
4274722,16
4090628,5
2291767,0
3979638,0
2062503,0
1586897,16
4513504,11
4200120,0
3943934,4
1606532,16
3816487,0
4518761,11
3945421,0
4055161,0
1586953,17
2289808,0
1569065,15
4130444,5
4054012,0
4247353,3
4233533,4
3914759,0
4278006,0
4083265,0
1708088,14
941719,17
4038424,5
2517309,17
4544936,7
3743519,0
1721215,18
3995107,0
4101429,4
1376563,17
2286645,0
4240914,1
2409851,9
2246321,0
4031355,17
3925196,0
2233939,0
4169202,2
2271225,0
4232499,2
4080338,1
3705698,0
4054459,0
1115944,16
2086089,0
4170332,0
1435955,17
1531547,17
2334934,5
3888598,0
4165264,0
3996141,0
4014415,0
3946552,5
1347880,16
4277368,0
4246281,0
3909146,0
3736866,0
4311039,0
2194828,0
4062570,0
4126169,0
4258141,0
1494331,17
3988761,0
4090745,5
4485641,8
3836983,0
4073645,0
3918719,0
4169613,4
4285293,0
1551941,18
2266400,0
4551680,8
2119968,0
2123603,0
1708384,16
2165650,0
1426052,17
4132450,5
4297289,0
1598304,16
2133836,0
1934022,14
2402325,10
4145253,0
4554848,13
1455626,17
4114965,0
1545940,17
3772508,0
3815776,0
4099668,3
4149644,0
4163949,0
2183715,0
3722668,15
4110354,0
2385377,14
1466573,17
4129690,5
2305333,0
4320298,1
2432511,18
2172439,1
4293117,0
2318550,0
2081382,0
4084260,4
3843615,0
4103756,4
3681780,0
4133373,4
4138977,1
4030084,0
4075278,4
2195659,0
4016956,0
4037380,0
3874085,18
1486895,17
1776568,15
2308663,0
1343346,16
1606535,16
4171067,0
2384012,15
3785669,0
2124377,0
3715572,1
2310645,1
3799029,0
1706539,16
2139721,14
2319778,0
4209925,0
4133346,0
4059884,1
2407425,13
2239546,0
4101711,0
4191923,0
3855621,3
4277288,5
2313310,1
2312621,0
1169786,16
3904313,0
2314304,0
4248907,0
3955995,0
4075277,4
4181534,0
2200360,0
4435696,10
2291079,0
2117249,0
4063727,0
3899885,0
4138110,0
2241657,1
2368069,11
2305526,0
4298568,0
